Dates,BRL_FX_Spot,50d_200d_cross,CA,TB,rate,REER_discount,budget
5/13/03,2.89,0,-0.62,1731,23.6689,0.039431356,-5.14
5/14/03,2.8905,0,-0.62,1731,23.001,0.032730024,-5.14
5/15/03,2.967,0,-0.62,1731,22.83,0.026712065,-5.14
5/16/03,2.9425,0,-0.62,1731,24.45,0.017040226,-5.14
5/19/03,2.9975,0,-0.62,1731,24.45,0.00601641,-5.14
5/20/03,3.0375,0,-0.62,1731,24.45,-0.003997245,-5.14
5/21/03,3.001,0,-0.62,1731,23.9937,-0.00217645,-5.14
5/22/03,2.98,0,-0.62,1731,24.1005,0.001378011,-5.14
5/23/03,2.9155,0,-0.62,1731,23.9482,0.020113498,-5.14
5/26/03,3.025,0,-0.62,1731,24.18,0.020296044,-5.14
5/27/03,3.028,0,-0.62,1731,24.18,-0.015663383,-5.14
5/28/03,3.012,0,-0.62,1731,23.8,-0.006026679,-5.14
5/29/03,2.9345,0,-0.62,1731,24.04,0.022702452,-5.14
5/30/03,2.9675,0,-0.62,1731,23.6788,0.005367371,-5.14
6/2/03,2.978,0,-0.62,2527,23.93,0.007002246,-5.14
6/3/03,2.944,0,-0.62,2527,23.93,0.012269119,-5.14
6/4/03,2.916,0,-0.62,2527,23.62,0.025166675,-5.14
6/5/03,2.8575,0,-0.62,2527,23.1018,0.02986351,-5.14
6/6/03,2.8755,0,-0.62,2527,23.06,0.04128057,-5.14
6/9/03,2.8625,0,-0.62,2527,23.26,0.041817519,-5.14
6/10/03,2.869,0,-0.62,2527,23.46,0.046919345,-5.14
6/11/03,2.8515,0,-0.62,2527,23.1,0.038738485,-5.14
6/12/03,2.8635,0,-0.62,2527,22.53,0.042533232,-5.14
6/13/03,2.8385,0,-0.62,2527,22.4,0.043702407,-5.14
6/16/03,2.8725,0,-0.62,2527,22.1888,0.043493515,-5.14
6/17/03,2.8625,0,-0.62,2527,21.91,0.033503819,-5.14
6/18/03,2.8865,0,-0.62,2527,21.91,0.027967201,-5.14
6/19/03,2.8875,0,-0.62,2527,21.77,0.033595913,-5.14
6/20/03,2.8875,0,-0.62,2527,21.9143,0.039362284,-5.14
6/23/03,2.86,0,-0.62,2527,21.8593,0.039234197,-5.14
6/24/03,2.8675,0,-0.62,2527,21.77,0.052038085,-5.14
6/25/03,2.8595,0,-0.62,2527,21.9148,0.045462569,-5.14
6/26/03,2.899,0,-0.62,2527,21.77,0.039731745,-5.14
6/27/03,2.876,0,-0.62,2527,21.77,0.045145388,-5.14
6/30/03,2.844,0,0.3,2362,22.2099,0.051240327,-5.16
7/1/03,2.835,0,0.3,2362,21.9971,0.054068874,-5.16
7/2/03,2.8155,0,0.3,2362,21.9554,0.064021647,-5.16
7/3/03,2.824,0,0.3,2362,21.8668,0.060320598,-5.16
7/4/03,2.839,0,0.3,2362,21.6795,0.06030251,-5.16
7/7/03,2.8825,0,0.3,2362,21.5656,0.049473456,-5.16
7/8/03,2.871,0,0.3,2362,21.8448,0.046007672,-5.16
7/9/03,2.86,0,0.3,2362,21.57,0.055974348,-5.16
7/10/03,2.891,0,0.3,2362,21.2969,0.041708418,-5.16
7/11/03,2.891,0,0.3,2362,21.3797,0.038953316,-5.16
7/14/03,2.854,0,0.3,2362,22.5419,0.049928293,-5.16
7/15/03,2.8655,0,0.3,2362,22.1754,0.068702601,-5.16
7/16/03,2.8435,0,0.3,2362,22.1962,0.058178518,-5.16
7/17/03,2.8675,0,0.3,2362,21.2055,0.062135348,-5.16
7/18/03,2.8875,0,0.3,2362,21.1495,0.058243515,-5.16
7/21/03,2.878,0,0.3,2362,21.7781,0.051206509,-5.16
7/22/03,2.883,0,0.3,2362,20.8592,0.052183247,-5.16
7/23/03,2.9,0,0.3,2362,20.8592,0.042372129,-5.16
7/24/03,2.8855,0,0.3,2362,21.7216,0.047199035,-5.16
7/25/03,2.891,0,0.3,2362,21.5807,0.043657014,-5.16
7/28/03,2.8975,0,0.3,2362,21.0593,0.042022594,-5.16
7/29/03,2.937,0,0.3,2362,20.5546,0.032206824,-5.16
7/30/03,2.9685,0,0.3,2362,21.4,0.027806377,-5.16
7/31/03,2.966,0,0.3,2066,22.1455,0.025163358,-5.16
8/1/03,3.03,0,0.3,2066,22.1455,0.015915674,-5.16
8/4/03,3.0675,0,0.3,2066,22.1455,-0.021327412,-5.16
8/5/03,3.0173,0,0.3,2066,21.9574,0.002221747,-5.16
8/6/03,3.0525,0,0.3,2066,21.1272,0.000852881,-5.16
8/7/03,2.984,0,0.3,2066,21.9231,0.012186367,-5.16
8/8/03,2.9865,0,0.3,2066,21.8849,0.017736387,-5.16
8/11/03,3.0025,0,0.3,2066,22.2713,0.013526731,-5.16
8/12/03,3.0285,0,0.3,2066,22.0007,0.005516868,-5.16
8/13/03,3.0065,0,0.3,2066,21.5032,0.002656817,-5.16
8/14/03,3.006,0,0.3,2066,21.5573,0.014234961,-5.16
8/15/03,2.992,0,0.3,2066,21.7477,0.01635762,-5.16
8/18/03,2.9925,0,0.3,2066,21.4848,0.019525878,-5.16
8/19/03,2.986,0,0.3,2066,21.8596,0.020804476,-5.16
